Campo1,Campo2_texto,Campo2_enlaces,Campo3_texto,Campo3_enlaces,Campo4_texto,Campo4_enlaces
Hace 19 horas,"
                                        Arequipa: mujer fue asesinada de varias puñaladas en su vivienda en el distrito de Paucarpata                                    ",https://rpp.pe/peru/arequipa/arequipa-mujer-fue-asesinada-de-varias-punaladas-en-su-vivienda-en-el-distrito-de-paucarpata-noticia-1508561,"
                                        Arequipa                                    ",https://rpp.pe/peru/arequipa,Pedro Luis Ramos Martinez,https://rpp.pe/autor/pramos
Hace 19 horas,"
                                        “No es una sorpresa”: Transparencia cuestionó archivamiento de dos denuncias contra el presidente del Congreso                                    ",https://rpp.pe/politica/congreso/alejandro-soto-transparencia-cuestiono-archivamiento-denuncias-contra-el-presidente-del-congreso-noticia-1508568,"
                                        Congreso                                    ",https://rpp.pe/politica/congreso,Sergio Espinoza,https://rpp.pe/autor/sespinoza
Hace 20 horas,"
                                        Procuraduría pide que Zoraida Ávalos pague S/200 000 como reparación por suspender investigación a Pedro Castillo                                    ",https://rpp.pe/politica/judiciales/zoraida-avalos-procuraduria-pide-s-200-000-como-reparacion-civil-por-suspender-investigacion-a-pedro-castillo-noticia-1508573,"
                                        Judiciales                                    ",https://rpp.pe/politica/judiciales,Julio Cisneros,https://rpp.pe/autor/jcisneros
Hace 20 horas,"
                                        Roberto Sánchez: “No he tomado ningún centavo” de la caja chica del Mincetur                                    ",https://rpp.pe/politica/actualidad/roberto-sanchez-no-he-tomado-ningun-centavo-de-la-caja-chica-del-mincetur-noticia-1508566,"
                                        Lima                                    ",https://rpp.pe/politica/actualidad,,
Hace 20 horas,"
                                        Ciudadana reitera pedido de ayuda para que su padre sea operado de la vista                                    ",https://rpp.pe/rotafono/servicios-publicos/ciudadana-reitera-pedido-de-ayuda-para-que-su-padre-sea-operado-de-la-vista-noticia-1508509,"
                                        Servicios públicos                                    ",https://rpp.pe/rotafono/servicios-publicos,Victor Pacheco,https://rpp.pe/autor/vpacheco
Hace 20 horas,"
                                        La Victoria: niño espera cita en el hospital Almenara hace 7 meses                                    ",https://rpp.pe/rotafono/servicios-publicos/la-victoria-nino-espera-cita-en-el-hospital-almenara-hace-7-meses-noticia-1508516,"
                                        Servicios públicos                                    ",https://rpp.pe/rotafono/servicios-publicos,Angela Ximena Espejo Rojas,https://rpp.pe/autor/aespejo
Hace 20 horas,"
                                        Universitario vs. UTC: resumen y goles de la victoria crema por la fecha 17 del Torneo Clausura                                    ",https://rpp.pe/futbol/descentralizado/universitario-vs-utc-como-cuando-y-donde-ver-en-directo-partido-por-fecha-17-del-torneo-clausura-2023-de-liga-1-betsson-noticia-1508279,"
                                        Descentralizado                                    ",https://rpp.pe/futbol/descentralizado,Erick Chavez,https://rpp.pe/autor/echavez
Hace 21 horas,"
                                        En un partido perfecto, Universitario derrotó 3-0 a UTC y es líder del Torneo Clausura                                    ",https://rpp.pe/futbol/descentralizado/universitario-vs-utc-en-vivo-via-golperu-ver-en-directo-online-futbol-libre-partidazo-en-el-monumental-por-la-fecha-17-del-torneo-clausura-de-la-liga-1-noticia-1508314,"
                                        Descentralizado                                    ",https://rpp.pe/futbol/descentralizado,Erick Chavez,https://rpp.pe/autor/echavez
Hace 21 horas,"
                                        Terrible error de Patrick Zubczuk que terminó en gol de Edison Flores [VIDEO]                                    ",https://rpp.pe/futbol/descentralizado/ver-gol-universitario-de-deportes-vs-utc-error-de-patrick-zubzuck-que-genero-la-anotacion-de-edison-flores-video-noticia-1508559,"
                                        Descentralizado                                    ",https://rpp.pe/futbol/descentralizado,Erick Chavez,https://rpp.pe/autor/echavez
Hace 21 horas,"
                                        De cabeza y a celebrar: Riveros anotó el segundo gol de Universitario ante UTC [VIDEO]                                    ",https://rpp.pe/futbol/descentralizado/universitario-vs-utc-williams-riveros-anoto-de-cabeza-el-segundo-gol-crema-video-noticia-1508558,"
                                        Descentralizado                                    ",https://rpp.pe/futbol/descentralizado,Jean Dueñas,https://rpp.pe/autor/jduenas
